node_id,name,type,features
1,A CN Gel(Topical) 20gmA CN Soap 75gm,drugs,0.8662776199017956
2,A Ret 0.05% Gel 20gmA Ret 0.1% Gel 20gmA Ret 0.025% Gel 20gm,drugs,0.0
3,ACGEL CL NANO Gel 15gm,drugs,0.5228268246095664
4,ACGEL NANO Gel 15gm,drugs,0.5228268246095664
5,Acleen 1% Lotion 25ml,drugs,0.8949602203790201
6,Aclene 0.10% Gel 15gm,drugs,0.8949602203790201
7,Acnay Gel 10gm,drugs,0.8949602203790201
8,Acne Aid Bar 50gmAcne Aid Bar 100gm,drugs,0.8439835346025534
9,Acne UV Gel 60gm,drugs,0.8439835346025534
10,Acne UV SPF 30 Gel 30gm,drugs,0.7588739476006342
11,Acnecure Gel 20gm,drugs,0.0
12,Acnedap Gel 15gm,drugs,0.8662776199017956
13,Acnedap Plus Gel 15gm,drugs,0.0
14,Acnehit Gel 15gm,drugs,0.5228268246095664
15,Acnelak Soap 75gm,drugs,0.5228268246095664
16,Acnelak Clz Cream 15gm,drugs,0.8949602203790201
17,Acnelak Z Lotion 15gm,drugs,0.8949602203790201
18,Acnemoist Cream 60gm,drugs,0.8949602203790201
19,Acnerex Soap 75gm,drugs,0.8439835346025534
20,Acneril 1% Gel 10gmAcneril Tablet 10Acneril 0.10% Cream 20gm,drugs,0.8439835346025534
21,Acnesol 1% Solution 25mlAcnesol Gel 20gmAcnesol Solution 45ml,drugs,0.7588739476006342
22,Acnesol A Nano Gel 15gm,drugs,0.0
23,Acnesol CL Gel 15gm,drugs,0.7042076884793792
24,Acnestal Soap 75gm,drugs,0.0
25,Acnestar 10mg Capsule 10'SAcnestar 2.5% Soap 75gmAcnestar S Soap 75gmAcnestar 20mg Capsule 10'S,drugs,0.0
26,Acnetoin 20mg Capsule 10'SAcnetoin Gel 15gm,drugs,0.8662776199017956
27,Acnetoin Plus Oinment 15gm,drugs,0.0
28,Acnetor AD 1% Ointment 15gm,drugs,0.5228268246095664
29,Acnetor AD Cream 15Acnetor AD Gel 15gm,drugs,0.5228268246095664
30,Acnewar Gel 15gm,drugs,0.8949602203790201
31,Acnewar Plus Gel 15gm,drugs,0.8949602203790201
32,Acnex 10mg Capsule 10'SAcnex 20mg Capsule 10'SAcnex Bar 75gm,drugs,0.8949602203790201
33,Acnezyl Gel(Topical) 10gm,drugs,0.8439835346025534
34,Acnicin Gel 15gmAcnicin 1/1% Solution 25ml,drugs,0.8439835346025534
35,Acnil Soap 75gm,drugs,0.7588739476006342
36,Acnin Cream 50gm,drugs,0.0
37,Acnin Pimple Care Face Pack 50gm,drugs,0.8662776199017956
38,Acno 0.05% Gel 15gmAcno 20mg Capsule 10'S,drugs,0.0
39,Acnoff Anti Acne Bar 100gm,drugs,0.5228268246095664
40,Acnorm Lotion 180ml,drugs,0.5228268246095664
41,Acnovate Gel 15gm,drugs,0.8949602203790201
42,Acnovate Trio Gel 15gm,drugs,0.8949602203790201
43,Acutret 10mg Capsule 10'SAcutret 30mg Capsule 10'SAcutret 20mg Capsule 10'SAcutret 5mg Capsule 10'S,drugs,0.8949602203790201
44,Aczit 10mg Softgel 10'S,drugs,0.8439835346025534
45,Adabor Gel 15gm,drugs,0.8439835346025534
46,Adacin Gel 15gm,drugs,0.7588739476006342
47,Adaclene Gel 15gm,drugs,0.0
48,Adaferin Gel 15gm,drugs,0.7042076884793792
49,Adalene Nano Gel 15mg,drugs,0.0
50,Adapen Gel 15gm,drugs,0.0
51,Adaple Gel 15gmAdaple C Gel 15gm,drugs,0.0
52,Adapnil Gel 15gm,drugs,0.8662776199017956
53,Adiff Aqueous Gel 15gm,drugs,0.0
54,Adistar Gel 15gm,drugs,0.5228268246095664
55,Adistarc Gel 10gm,drugs,0.5228268246095664
56,Adit 0.05% Cream 20gmAdit 0.025% Cream 20gm,drugs,0.8949602203790201
57,Adlene Gel 15gm,drugs,0.8949602203790201
58,Admark Gel 15gm,drugs,0.8949602203790201
59,Ahaglow Acne Control Moisturizing Gel 50gm,drugs,0.8439835346025534
60,Airet 0.50% Cream 15gmAiret 0.10% Cream 15gm,drugs,0.8439835346025534
61,Airol Cream 20gmAirol 0.03% Cream 20gmAirol 0.05% Cream 20gm,drugs,0.7588739476006342
62,Aknaybar Bathing Bar 100gm,drugs,0.0
63,Akneroxid 10% Gel 20gm,drugs,0.7042076884793792
64,ALAN Gel 15gm,drugs,0.0
65,Alene Gel 15gm,drugs,0.8662776199017956
66,Alesa 2.5% Gel 1gmAlesa 5% Gel 1gm,drugs,0.0
67,Alight Gel 15gm,drugs,0.5228268246095664
68,Alight Plus Gel 15gm,drugs,0.5228268246095664
69,Alite Cream 15gmAlite Soap 75gm,drugs,0.8949602203790201
70,Alite Plus Gel 15gm,drugs,0.8949602203790201
71,Allyte 1% Gel 20gm,drugs,0.8949602203790201
72,Alonurish Anti Acne Foaming Face Wash 60ml,drugs,0.8439835346025534
73,Amypure Tablet 90'SAmypure Tablet 100'S,drugs,0.8439835346025534
74,AP Gel 10gm,drugs,0.7588739476006342
75,Apalene C Gel 15gm,drugs,0.0
76,Athoderm 1% Gel 15gm,drugs,0.7042076884793792
77,Atranza 10mg Capsule 100'S,drugs,0.0
78,Atret 0.5% Cream 30gmATRET 0.025% Cream 30gm,drugs,0.8662776199017956
79,Azac Cream 15gmAzac Soap 75gm,drugs,0.0
80,Azecne 20% Cream 15gmAzecne 10% Cream 15gm,drugs,0.5228268246095664
81,Aziderm 10% Cream 15gmAziderm 20% Gel 15gmAziderm 10% Gel 15gmAziderm 20% Cream 15gmAziderm 15% Gel 15gm,drugs,0.5228268246095664
82,Azobril 15% Cream 20gm,drugs,0.8949602203790201
83,Baclytic Gel 15gm,drugs,0.8949602203790201
84,Bdiff A Gel 15gm,drugs,0.8949602203790201
85,Bende Gel(Topical) 20gmBende Gel(Topical) 30gm,drugs,0.8439835346025534
86,Bengel 5% Gel 30gmBengel AC 5% Gel 30gmBengel 2.5% Gel 30gm,drugs,0.8439835346025534
87,Bengel AC 2.5% Gel 30gm,drugs,0.7588739476006342
88,Bengel Acra 2.5% Gel 30gm,drugs,0.0
89,Benzac AC 2.5% Gel 20gm,drugs,0.7042076884793792
90,Benzac AC 5% Gel 20gm,drugs,0.0
91,Benzer 5% Gel 20gmBenzer 2.5% Gel 20gm,drugs,0.0
92,Benzonext 5% Gel 20gmBenzonext Gel 20gm,drugs,0.0
93,Benzonix 1.25% Soap 75gmBenzonix 2.5% Soap 75gmBenzonix Gel 20gm,drugs,0.8662776199017956
94,Benzox AC 5% Gel 20gm,drugs,0.0
95,Blokage Gel 15gm,drugs,0.5228268246095664
96,Botanica 3D Serum 30ml,drugs,0.5228268246095664
97,Brevoxyl Cream 20gm,drugs,0.8949602203790201
